Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg
Mammoth Mountain Resort,The best skiing area in California!,37.63046432,-119.0329324,https://www.mammothmountain.com/discover,https://www.visitmammoth.com/wp-content/uploads/listing_247-1726.jpg
Monterey Bay Aquarium,One of the best aquariums in the world!,36.61826561,-121.9017996,https://www.montereybayaquarium.org,https://www.montereybayaquarium.org/globalassets/mba/images/exhibits/kelp-forest/kelp-forest-rw16-316-1.jpg
